codice_intervento,descrizione,programma,com_istat_code,comune,prov_acr,provincia,reg_istat_code,costo_totale_mln,ultimo_documento
0013A,Nuova linea a monte del Vesuvio Nuova linea a monte del Vesuvio (tratta bivio Casoria - bivio Sarno),Direttrici di interesse nazionale,063023,Casoria,NA,Napoli,15,358.31,agg2025
0013A,Nuova linea a monte del Vesuvio Nuova linea a monte del Vesuvio (tratta bivio Casoria - bivio Sarno),Direttrici di interesse nazionale,065135,Sarno,SA,Salerno,15,358.31,agg2025
0036,"Nodo di Palermo Passante ferroviario Palermo c.le/Notarbartolo-Carini, Apparato tecnologico Palermo c.le e Completamento raddoppio Carini- Punta-Raisi e adeguamento tecnologico Palermo c.le-Fiumetorto",Città metropolitane,082053,Palermo,PA,Palermo,19,1307.26,agg2025
0036,"Nodo di Palermo Passante ferroviario Palermo c.le/Notarbartolo-Carini, Apparato tecnologico Palermo c.le e Completamento raddoppio Carini- Punta-Raisi e adeguamento tecnologico Palermo c.le-Fiumetorto",Città metropolitane,082021,Carini,PA,Palermo,19,1307.26,agg2025
0037,Realizzazione fermate ed adeguamento stazioni per servizio metropolitano di Bologna 1^ fase,,037006,Bologna,BO,Bologna,08,0.0,cdp2017
0049A,Raddoppio Milano-Mortara: 1^ fase Raddoppio Milano S.Cristoforo- Albairate Fermate Porta Romana e Tibaldi Riqualificazione Milano S. Cristoforo-P.ta Romana PROG PROG Raddoppio Albairate-Abbiategrasso PROG PROG,Città metropolitane,015146,Milano,MI,Milano,03,564.68,agg2025
0049A,Raddoppio Milano-Mortara: 1^ fase Raddoppio Milano S.Cristoforo- Albairate Fermate Porta Romana e Tibaldi Riqualificazione Milano S. Cristoforo-P.ta Romana PROG PROG Raddoppio Albairate-Abbiategrasso PROG PROG,Città metropolitane,018102,Mortara,PV,Pavia,03,564.68,agg2025
0049A,Raddoppio Milano-Mortara: 1^ fase Raddoppio Milano S.Cristoforo- Albairate Fermate Porta Romana e Tibaldi Riqualificazione Milano S. Cristoforo-P.ta Romana PROG PROG Raddoppio Albairate-Abbiategrasso PROG PROG,Città metropolitane,015005,Albairate,MI,Milano,03,564.68,agg2025
0049A,Raddoppio Milano-Mortara: 1^ fase Raddoppio Milano S.Cristoforo- Albairate Fermate Porta Romana e Tibaldi Riqualificazione Milano S. Cristoforo-P.ta Romana PROG PROG Raddoppio Albairate-Abbiategrasso PROG PROG,Città metropolitane,015002,Abbiategrasso,MI,Milano,03,564.68,agg2025
0049B,Raddoppio Milano-Mortara: 2^ fase Raddoppio Abbiategrasso-Vigevano-Parona PROG PROG Raddoppio Parona-Mortara,Città metropolitane,015146,Milano,MI,Milano,03,1542.66,agg2025
0049B,Raddoppio Milano-Mortara: 2^ fase Raddoppio Abbiategrasso-Vigevano-Parona PROG PROG Raddoppio Parona-Mortara,Città metropolitane,018102,Mortara,PV,Pavia,03,1542.66,agg2025
0049B,Raddoppio Milano-Mortara: 2^ fase Raddoppio Abbiategrasso-Vigevano-Parona PROG PROG Raddoppio Parona-Mortara,Città metropolitane,015002,Abbiategrasso,MI,Milano,03,1542.66,agg2025
0049B,Raddoppio Milano-Mortara: 2^ fase Raddoppio Abbiategrasso-Vigevano-Parona PROG PROG Raddoppio Parona-Mortara,Città metropolitane,018177,Vigevano,PV,Pavia,03,1542.66,agg2025
0049B,Raddoppio Milano-Mortara: 2^ fase Raddoppio Abbiategrasso-Vigevano-Parona PROG PROG Raddoppio Parona-Mortara,Città metropolitane,018109,Parona,PV,Pavia,03,1542.66,agg2025
0052,"Passante di Torino tratta Porta Susa - Stura Quadruplicamento Torino Porta Susa-Stura e progettazione fermate Dora e Zappata, Stazione AV Torino Porta Susa e Nuova SSE Torino Bramante",Città metropolitane,001272,Torino,TO,Torino,01,1045.03,agg2025
